status,key,kb_url,kb_title,downloaded_html_path,local_doc_path
pending,cascade-administration/administration-menus,https://www.hannonhill.com/cascadecms/latest/cascade-administration/administration-menus.html,Administration Menus - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/administration-menus.html,docs/cascade-administration/administration-menus/index.html
pending,cascade-administration/administration-tools/broadcast-messages,https://www.hannonhill.com/cascadecms/latest/cascade-administration/administration-tools/broadcast-messages.html,Announcements - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/administration-tools/broadcast-messages.html,docs/cascade-administration/administration-tools/broadcast-messages/index.html
pending,cascade-administration/administration-tools/logging-configuration,https://www.hannonhill.com/cascadecms/latest/cascade-administration/administration-tools/logging-configuration.html,Logging Configuration - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/administration-tools/logging-configuration.html,docs/cascade-administration/administration-tools/logging-configuration/index.html
pending,cascade-administration/administration-tools/logs-and-system-information,https://www.hannonhill.com/cascadecms/latest/cascade-administration/administration-tools/logs-and-system-information.html,Logs and System Information - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/administration-tools/logs-and-system-information.html,docs/cascade-administration/administration-tools/logs-and-system-information/index.html
pending,cascade-administration/audits,https://www.hannonhill.com/cascadecms/latest/cascade-administration/audits.html,Audits - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/audits.html,docs/cascade-administration/audits/index.html
pending,cascade-administration/connectors/analytics/how-to-set-up-a-google-analytics-connector,https://www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/analytics/how-to-set-up-a-google-analytics-connector.html,Google Analytics Connector - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/analytics/how-to-set-up-a-google-analytics-connector.html,docs/cascade-administration/connectors/analytics/how-to-set-up-a-google-analytics-connector/index.html
pending,cascade-administration/connectors/content-export/how-to-set-up-a-wordpress-connector,https://www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/content-export/how-to-set-up-a-wordpress-connector.html,WordPress Connector - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/content-export/how-to-set-up-a-wordpress-connector.html,docs/cascade-administration/connectors/content-export/how-to-set-up-a-wordpress-connector/index.html
pending,cascade-administration/connectors/digital-asset-management-dam/webdam-integration,https://www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/digital-asset-management-dam/webdam-integration.html,Webdam by Bynder Integration (Labs) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/digital-asset-management-dam/webdam-integration.html,docs/cascade-administration/connectors/digital-asset-management-dam/webdam-integration/index.html
pending,cascade-administration/connectors/digital-asset-management-dam/widen-collective-integration,https://www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/digital-asset-management-dam/widen-collective-integration.html,Acquia DAM (Widen) Integration (Labs) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/digital-asset-management-dam/widen-collective-integration.html,docs/cascade-administration/connectors/digital-asset-management-dam/widen-collective-integration/index.html
pending,cascade-administration/connectors/web-governance/dubbot-integration,https://www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/web-governance/dubbot-integration.html,DubBot Integration - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/web-governance/dubbot-integration.html,docs/cascade-administration/connectors/web-governance/dubbot-integration/index.html
pending,cascade-administration/connectors/web-governance/monsido-integration,https://www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/web-governance/monsido-integration.html,Monsido Integration - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/web-governance/monsido-integration.html,docs/cascade-administration/connectors/web-governance/monsido-integration/index.html
pending,cascade-administration/connectors/web-governance/siteimprove-integration,https://www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/web-governance/siteimprove-integration.html,Siteimprove Integration - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/connectors/web-governance/siteimprove-integration.html,docs/cascade-administration/connectors/web-governance/siteimprove-integration/index.html
pending,cascade-administration/database-tools/database-export,https://www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/database-export.html,Database Export - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/database-export.html,docs/cascade-administration/database-tools/database-export/index.html
pending,cascade-administration/database-tools/optimize-database,https://www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/optimize-database.html,Optimize Database - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/optimize-database.html,docs/cascade-administration/database-tools/optimize-database/index.html
pending,cascade-administration/database-tools/path-repair-tool,https://www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/path-repair-tool.html,Path Repair Tool - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/path-repair-tool.html,docs/cascade-administration/database-tools/path-repair-tool/index.html
pending,cascade-administration/database-tools/recycle-bin-checker,https://www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/recycle-bin-checker.html,Recycle Bin Checker - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/database-tools/recycle-bin-checker.html,docs/cascade-administration/database-tools/recycle-bin-checker/index.html
pending,cascade-administration/external-link-checking,https://www.hannonhill.com/cascadecms/latest/cascade-administration/external-link-checking.html,External Link Checking Preferences - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/external-link-checking.html,docs/cascade-administration/external-link-checking/index.html
pending,cascade-administration/installation-and-upgrades/cascade-8-upgrade-prep,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/cascade-8-upgrade-prep.html,Cascade CMS 8 Upgrade Prep Guide - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/cascade-8-upgrade-prep.html,docs/cascade-administration/installation-and-upgrades/cascade-8-upgrade-prep/index.html
pending,cascade-administration/installation-and-upgrades/configure-a-web-server-for-publishing,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/configure-a-web-server-for-publishing.html,Configure a web server for publishing - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/configure-a-web-server-for-publishing.html,docs/cascade-administration/installation-and-upgrades/configure-a-web-server-for-publishing/index.html
pending,cascade-administration/installation-and-upgrades/database/db-backup,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/db-backup.html,Creating a database backup - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/db-backup.html,docs/cascade-administration/installation-and-upgrades/database/db-backup/index.html
pending,cascade-administration/installation-and-upgrades/database/db-size-manage,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/db-size-manage.html,Database Size Management Tips - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/db-size-manage.html,docs/cascade-administration/installation-and-upgrades/database/db-size-manage/index.html
pending,cascade-administration/installation-and-upgrades/database/mysql,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/mysql.html,Setting up the database (MySQL) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/mysql.html,docs/cascade-administration/installation-and-upgrades/database/mysql/index.html
pending,cascade-administration/installation-and-upgrades/database/oracle,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/oracle.html,Setting up the database (Oracle) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/oracle.html,docs/cascade-administration/installation-and-upgrades/database/oracle/index.html
pending,cascade-administration/installation-and-upgrades/database/sqlserver,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/sqlserver.html,Setting up the database (SQL Server) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/database/sqlserver.html,docs/cascade-administration/installation-and-upgrades/database/sqlserver/index.html
pending,cascade-administration/installation-and-upgrades/linux,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/linux.html,Installation/Upgrade (ZIP) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/linux.html,docs/cascade-administration/installation-and-upgrades/linux/index.html
pending,cascade-administration/installation-and-upgrades/macos,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/macos.html,Installation/Upgrade (macOS) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/macos.html,docs/cascade-administration/installation-and-upgrades/macos/index.html
pending,cascade-administration/installation-and-upgrades/migrate-server,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/migrate-server.html,Migrating Cascade CMS to a new server - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/migrate-server.html,docs/cascade-administration/installation-and-upgrades/migrate-server/index.html
pending,cascade-administration/installation-and-upgrades/migration-tool,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/migration-tool.html,Migration Tool - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/migration-tool.html,docs/cascade-administration/installation-and-upgrades/migration-tool/index.html
